year,month_name,views
2014,Dec,26397
2015,Apr,2587
2015,Dec,61631
2015,Feb,931
2015,Jan,2297
2015,Jun,33801
2015,Nov,7941
2015,Oct,280961
2015,Sep,169
2016,Apr,165707
2016,Dec,106579
2016,Feb,55347
2016,Jan,4922
2016,Mar,940477
2016,Nov,891228
2016,Oct,6055
2016,Sep,49161
2017,Aug,1104987
2017,Dec,4649674
2017,Jan,301235
2017,Jul,295228
2017,Jun,119642
2017,Mar,608846
2017,Nov,474967
2017,Oct,2908535
2017,Sep,26834
2018,Apr,760955
2018,Aug,562349
2018,Dec,1020936
2018,Feb,19469
2018,Jan,1035576
2018,Jul,673854
2018,Jun,903712
2018,Mar,1386890
2018,May,2101909
2018,Nov,4472933
2018,Oct,194401
2018,Sep,1006740
2019,Apr,47020751
2019,Aug,35713821
2019,Dec,42424268
2019,Feb,48149744
2019,Jan,36024982
2019,Jul,36525128
2019,Jun,30325843
2019,Mar,60307165
2019,May,25360641
2019,Nov,54786668
2019,Oct,47555285
2019,Sep,40705064
2020,Apr,34117943
2020,Aug,28833514
2020,Dec,24018098
2020,Feb,23705733
2020,Jan,80360524
2020,Jul,45130853
2020,Jun,17095093
2020,Mar,55853368
2020,May,44824354
2020,Nov,35996576
2020,Oct,33372056
2020,Sep,26257852
2021,Apr,9374
2021,Aug,15671259
2021,Dec,23898227
2021,Feb,16617140
2021,Jan,33722534
2021,Jul,18085391
2021,Jun,10238123
2021,Mar,29894801
2021,May,22960915
2021,Nov,33697651
2021,Oct,15269536
2021,Sep,33668223
2022,Apr,33621864
2022,Aug,98825798
2022,Dec,136357325
2022,Feb,40405145
2022,Jan,37580957
2022,Jul,22146644
2022,Jun,24624615
2022,Mar,23745338
2022,May,16650949
2022,Nov,59926736
2022,Oct,33365061
2022,Sep,29530444
2023,Apr,96801773
2023,Aug,48683965
2023,Dec,52480193
2023,Feb,51534440
2023,Jan,117668428
2023,Jul,45134979
2023,Jun,83457456
2023,Mar,52444132
2023,May,60828802
2023,Nov,133311200
2023,Oct,35768673
2023,Sep,79243880
2024,Apr,31518100
2024,Aug,30616243
2024,Dec,26603883
2024,Feb,1152655
2024,Jan,103753255
2024,Jul,52916842
2024,Jun,19624572
2024,Mar,117646923
2024,May,101757328
2024,Nov,58589923
2024,Oct,30647466
2024,Sep,67790227
2025,Apr,64797344
2025,Aug,129590750
2025,Dec,103202727
2025,Feb,21757992
2025,Jan,23726192
2025,Jul,108137377
2025,Jun,76191287
2025,Mar,41592948
2025,May,94353351
2025,Nov,94821287
2025,Oct,122627899
2025,Sep,119954029
