channel_id,channel_type
UCGZRAR36kv3-8Y6BY4OP7sQ,medium
UCRzScB0a-dc6OCYYZlP9qpA,medium
UCM014DFZ7peFVrSaxnh4-Mw,medium
UC12JuiJvbK7D00jF8X4qJyw,medium
UC3ByF8DcZ3yxUs7VP1NOuyA,medium
UCJyEBMU1xVP2be1-AoGS1BA,medium
UCXpAvdmdMHiwVtG9R05qFig,medium
UCy90KA6Dz8M67fFvt3A2mbA,small
UCH5lEHZBneCo6GPkBChmzeA,small
UCwcmGVp0J2h8CGElEqfh0Vw,small
UCpwOczCmYOGhF3Id5H0G5-Q,small
UCJimYi14hBvEUS-4k27vn9g,small
UCl3tJFKsFrw2p_Wxf1YDSow,small
UCgME8sKroxRIRZFS4zNFRZw,small
UCXzSlkirH197OYJt20qZqvQ,small
UCqZQlzSHbVJrwrn5XvzrzcA,big
UCrOfzpH1sWPu1IqHnVhojKA,big
UCbgcYEdMsuypG2NJ-znBp3w,big
UCcw05gGzjLIs5dnxGkQHMvw,big
UCMiJRAwDNSNzuYeN2uWa0pA,big
UCuOwl-VgqBHOzR8hWnonBcA,big
UCiVpICcqzCJsWMexdMrJhxw,big
UCy0tKL1T7wFoYcxCe0xjN6Q,big
