video_id,channel_id,title,published_date,views,likes,comments,engagement_rate
Qhwafoo7Pnc,UCq-Fj5jknLsUf-MWSy4_brA,"Aawaara Angaara (Full Video): Tere Ishk Mein | Dhanush, Kriti | AR Rahman,Faheem|Aanand LR|Bhushan K",2025-12-11 13:00:07+00:00,3708746,52975,2219,0.0149
mJAtkn3g6jE,UCq-Fj5jknLsUf-MWSy4_brA,"MANAN BHARDWAJ - ""SAJNI"" - MV | AARZU THAKUR | BHUSHAN KUMAR",2025-12-11 05:30:05+00:00,2982855,54631,3316,0.0194
RpEADKQCavA,UCq-Fj5jknLsUf-MWSy4_brA,"RAHAT (Official Music Video): Adnan Sami | Tanishk Bagchi | Shaan Y | Mihir, Kanikka | Bhushan Kumar",2025-12-10 05:30:05+00:00,2172741,25361,1180,0.0122
-lR0wvxfAdk,UCq-Fj5jknLsUf-MWSy4_brA,Juda Hue Ho (Music Video): Akhil Sachdeva | Nickita Arora | Bhushan Kumar,2025-12-12 05:30:01+00:00,2169082,34663,1133,0.0165
b7boZIF9WHY,UCq-Fj5jknLsUf-MWSy4_brA,PARESHAN (Lyrical Visualizer): YXTO | Izhaar | New Hindi Song | T-Series,2025-12-11 11:31:08+00:00,1049182,10703,1085,0.0112
DY1DdeW3VyI,UCq-Fj5jknLsUf-MWSy4_brA,"Tere Ishk Mein (Full Video) | Dhanush, Kriti S | AR Rahman, Arijit S, Irshad | Aanand LR | Bhushan K",2025-12-10 15:59:08+00:00,1030262,13360,382,0.0133
IGti1RTS1wc,UCq-Fj5jknLsUf-MWSy4_brA,"Deewaana Deewaana (Full Video): Tere Ishk Mein | Dhanush, Kriti | AR Rahman | Aanand LR | Bhushan K",2025-12-11 10:00:07+00:00,376656,6100,251,0.0169
93-gE1aBW9c,UCq-Fj5jknLsUf-MWSy4_brA,CHILLGUM (Lyrical Video): YO YO HONEY SINGH | MALAIKA ARORA | 51 GLORIOUS DAYS | BHUSHAN KUMAR,2025-12-13 05:30:09+00:00,367677,10042,551,0.0288
zSmBw5xIDjM,UCq-Fj5jknLsUf-MWSy4_brA,"Sahana Sahana Promo (Hindi) - The RajaSaab | Prabhas | Nidhhi Agerwal | Maruthi | Thaman S, Vishal M",2025-12-14 13:21:41+00:00,322064,19441,825,0.0629
YDX7GxFb0lM,UCq-Fj5jknLsUf-MWSy4_brA,Rahat Hai Tu💘💫: Adnan Sami | Tanishk Bagchi | Shaan Yadav | Bhushan Kumar | #YTShortsIndia,2025-12-10 07:35:47+00:00,238050,1528,18,0.0065
