video_id,channel_id,title,published_date,views,likes,comments,engagement_rate
OBLQTYgCaDo,UCq-Fj5jknLsUf-MWSy4_brA,Maa Ka Darbaar (Audio): Sonu Nigam | Shabbir Ahmed | Maa Ka Bulawa Aaya Hai | T-Series,2025-12-15 11:28:12+00:00,120,24,15,0.325
HtwMp77a2Yk,UCq-Fj5jknLsUf-MWSy4_brA,Sawaari (Lyrical Video): Faridkot | IP Singh | Rajarshi Sanyal | Nayi Baat | New Hindi Song,2025-12-15 09:05:03+00:00,1194,60,36,0.0804
HpSR9RSohUg,UCq-Fj5jknLsUf-MWSy4_brA,Listen to this romatic song #HaiyeRe,2025-12-15 08:34:37+00:00,11764,161,5,0.0141
DSj58CoUNnE,UCq-Fj5jknLsUf-MWSy4_brA,"Single Papa: Ib Na Jaane (Song) | Kunal Kemmu | Manoj P,Ayesha R,Prajakta K | Aman P | Netflix India",2025-12-15 05:30:05+00:00,117162,997,78,0.0092
zSmBw5xIDjM,UCq-Fj5jknLsUf-MWSy4_brA,"Sahana Sahana Promo (Hindi) - The RajaSaab | Prabhas | Nidhhi Agerwal | Maruthi | Thaman S, Vishal M",2025-12-14 13:21:41+00:00,322064,19441,825,0.0629
ZAZiFUr6jio,UCq-Fj5jknLsUf-MWSy4_brA,Shartaan Energy Only😍💫 - Tulsi Kumar,2025-12-14 12:37:21+00:00,51007,448,23,0.0092
_5b-jdD2teU,UCq-Fj5jknLsUf-MWSy4_brA,"GG Ki Ghaintness (Lyrical) | Single Papa | Kunal Kemmu, Manoj P, Ayesha R, Prajakta K | Aman Pant",2025-12-14 11:32:20+00:00,9255,182,29,0.0228
172lJBf13og,UCq-Fj5jknLsUf-MWSy4_brA,"Aakhri Salaam (Lyrics) – De De Pyaar De 2 | Ajay Devgn, Rakul Preet Singh | Armaan M, Sagar B",2025-12-14 08:03:32+00:00,60314,1576,155,0.0287
6rGqi_wdSU4,UCq-Fj5jknLsUf-MWSy4_brA,"O Khuda 8K Full Video Song | Amaal Mallik | Palak Muchchal | Hero | Sooraj Pancholi, Athiya Shetty",2025-12-14 05:44:20+00:00,40743,1239,425,0.0408
eLbDMz9q81g,UCq-Fj5jknLsUf-MWSy4_brA,"Tum Se Hi 8K Full Song | Jab We Met | Kareena Kapoor Khan, Shahid Kapoor | Mohit Chauhan | Pritam",2025-12-14 05:44:02+00:00,111525,769,33,0.0072
HATrmfPFnSU,UCq-Fj5jknLsUf-MWSy4_brA,Kaafir (Audio): YXTO | Izhaar | Raib Ansari M | New Hindi Songs | T-Series,2025-12-13 13:30:39+00:00,13293,266,33,0.0225
as9HAcU-blo,UCq-Fj5jknLsUf-MWSy4_brA,Chahatein (Audio): YXTO | Izhaar | Raib Ansari M | New Hindi Songs | T-Series,2025-12-13 13:30:27+00:00,5030,104,20,0.0247
evYKS3wg-z8,UCq-Fj5jknLsUf-MWSy4_brA,"Gallan 8K Full Song: Shahid Kapoor, Kriti,Talwiinder,MC SQUARE,NDS |Teri Baaton Mein Aisa Uljha Jiya",2025-12-13 11:48:03+00:00,197985,5087,257,0.027
L4GtP0jPlYA,UCq-Fj5jknLsUf-MWSy4_brA,SHARTAAN (Lyrical Video): Tulsi Kumar | Abhijeet Srivastava | Shayra | Ranju Varghese| Bhushan Kumar,2025-12-13 09:51:08+00:00,8803,161,33,0.022
93-gE1aBW9c,UCq-Fj5jknLsUf-MWSy4_brA,CHILLGUM (Lyrical Video): YO YO HONEY SINGH | MALAIKA ARORA | 51 GLORIOUS DAYS | BHUSHAN KUMAR,2025-12-13 05:30:09+00:00,367677,10042,551,0.0288
sU-zl_9u_4s,UCq-Fj5jknLsUf-MWSy4_brA,Pareshan (Audio): YXTO | Izhaar | New Hindi Song | T-Series,2025-12-12 15:01:41+00:00,6871,149,16,0.024
17J45EVVleM,UCq-Fj5jknLsUf-MWSy4_brA,Bekhudi (Audio): YXTO | Trivekza | Raib Ansari M | Izhaar | New Hindi Songs | T-Series,2025-12-12 15:01:50+00:00,10712,257,35,0.0273
OFzO-M0Dz-8,UCq-Fj5jknLsUf-MWSy4_brA,Appa Song (Hindi) | Vrusshabha | Mohanlal | Nanda Kishore | Sam CS | 25th December 2025,2025-12-12 12:29:07+00:00,62926,2123,106,0.0354
HQUk2KjcQ6M,UCq-Fj5jknLsUf-MWSy4_brA,EK MULAQAAT (Lyrical Video): Stebin Ben | Nidhi Shah | The Rish | Bhushan Kumar,2025-12-12 10:40:58+00:00,34928,887,73,0.0275
swd1ZN0jNl0,UCq-Fj5jknLsUf-MWSy4_brA,Juda Hue Ho: Akhil Sachdeva | Nickita Arora | Bhushan Kumar,2025-12-12 09:57:36+00:00,106759,643,25,0.0063
G6EqwyLOQC4,UCq-Fj5jknLsUf-MWSy4_brA,Nachdi (Video Song): Diljit Dosanjh | Miss Pooja | Sachin Ahuja | Ishq Ho Gaya | Latest Punjabi Song,2025-12-12 09:00:05+00:00,9374,174,44,0.0233
