video_id,channel_id,title,published_date,views,likes,comments
OBLQTYgCaDo,UCq-Fj5jknLsUf-MWSy4_brA,Maa Ka Darbaar (Audio): Sonu Nigam | Shabbir Ahmed | Maa Ka Bulawa Aaya Hai | T-Series,2025-12-15T11:28:12Z,120,24,15
HtwMp77a2Yk,UCq-Fj5jknLsUf-MWSy4_brA,Sawaari (Lyrical Video): Faridkot | IP Singh | Rajarshi Sanyal | Nayi Baat | New Hindi Song,2025-12-15T09:05:03Z,1194,60,36
HpSR9RSohUg,UCq-Fj5jknLsUf-MWSy4_brA,Listen to this romatic song #HaiyeRe,2025-12-15T08:34:37Z,11764,161,5
DSj58CoUNnE,UCq-Fj5jknLsUf-MWSy4_brA,"Single Papa: Ib Na Jaane (Song) | Kunal Kemmu | Manoj P,Ayesha R,Prajakta K | Aman P | Netflix India",2025-12-15T05:30:05Z,117162,997,78
zSmBw5xIDjM,UCq-Fj5jknLsUf-MWSy4_brA,"Sahana Sahana Promo (Hindi) - The RajaSaab | Prabhas | Nidhhi Agerwal | Maruthi | Thaman S, Vishal M",2025-12-14T13:21:41Z,322064,19441,825
ZAZiFUr6jio,UCq-Fj5jknLsUf-MWSy4_brA,Shartaan Energy Only😍💫 - Tulsi Kumar,2025-12-14T12:37:21Z,51007,448,23
_5b-jdD2teU,UCq-Fj5jknLsUf-MWSy4_brA,"GG Ki Ghaintness (Lyrical) | Single Papa | Kunal Kemmu, Manoj P, Ayesha R, Prajakta K | Aman Pant",2025-12-14T11:32:20Z,9255,182,29
172lJBf13og,UCq-Fj5jknLsUf-MWSy4_brA,"Aakhri Salaam (Lyrics) – De De Pyaar De 2 | Ajay Devgn, Rakul Preet Singh | Armaan M, Sagar B",2025-12-14T08:03:32Z,60314,1576,155
6rGqi_wdSU4,UCq-Fj5jknLsUf-MWSy4_brA,"O Khuda 8K Full Video Song | Amaal Mallik | Palak Muchchal | Hero | Sooraj Pancholi, Athiya Shetty",2025-12-14T05:44:20Z,40743,1239,425
eLbDMz9q81g,UCq-Fj5jknLsUf-MWSy4_brA,"Tum Se Hi 8K Full Song | Jab We Met | Kareena Kapoor Khan, Shahid Kapoor | Mohit Chauhan | Pritam",2025-12-14T05:44:02Z,111525,769,33
HATrmfPFnSU,UCq-Fj5jknLsUf-MWSy4_brA,Kaafir (Audio): YXTO | Izhaar | Raib Ansari M | New Hindi Songs | T-Series,2025-12-13T13:30:39Z,13293,266,33
as9HAcU-blo,UCq-Fj5jknLsUf-MWSy4_brA,Chahatein (Audio): YXTO | Izhaar | Raib Ansari M | New Hindi Songs | T-Series,2025-12-13T13:30:27Z,5030,104,20
evYKS3wg-z8,UCq-Fj5jknLsUf-MWSy4_brA,"Gallan 8K Full Song: Shahid Kapoor, Kriti,Talwiinder,MC SQUARE,NDS |Teri Baaton Mein Aisa Uljha Jiya",2025-12-13T11:48:03Z,197985,5087,257
L4GtP0jPlYA,UCq-Fj5jknLsUf-MWSy4_brA,SHARTAAN (Lyrical Video): Tulsi Kumar | Abhijeet Srivastava | Shayra | Ranju Varghese| Bhushan Kumar,2025-12-13T09:51:08Z,8803,161,33
93-gE1aBW9c,UCq-Fj5jknLsUf-MWSy4_brA,CHILLGUM (Lyrical Video): YO YO HONEY SINGH | MALAIKA ARORA | 51 GLORIOUS DAYS | BHUSHAN KUMAR,2025-12-13T05:30:09Z,367677,10042,551
sU-zl_9u_4s,UCq-Fj5jknLsUf-MWSy4_brA,Pareshan (Audio): YXTO | Izhaar | New Hindi Song | T-Series,2025-12-12T15:01:41Z,6871,149,16
17J45EVVleM,UCq-Fj5jknLsUf-MWSy4_brA,Bekhudi (Audio): YXTO | Trivekza | Raib Ansari M | Izhaar | New Hindi Songs | T-Series,2025-12-12T15:01:50Z,10712,257,35
OFzO-M0Dz-8,UCq-Fj5jknLsUf-MWSy4_brA,Appa Song (Hindi) | Vrusshabha | Mohanlal | Nanda Kishore | Sam CS | 25th December 2025,2025-12-12T12:29:07Z,62926,2123,106
HQUk2KjcQ6M,UCq-Fj5jknLsUf-MWSy4_brA,EK MULAQAAT (Lyrical Video): Stebin Ben | Nidhi Shah | The Rish | Bhushan Kumar,2025-12-12T10:40:58Z,34928,887,73
swd1ZN0jNl0,UCq-Fj5jknLsUf-MWSy4_brA,Juda Hue Ho: Akhil Sachdeva | Nickita Arora | Bhushan Kumar,2025-12-12T09:57:36Z,106759,643,25
G6EqwyLOQC4,UCq-Fj5jknLsUf-MWSy4_brA,Nachdi (Video Song): Diljit Dosanjh | Miss Pooja | Sachin Ahuja | Ishq Ho Gaya | Latest Punjabi Song,2025-12-12T09:00:05Z,9374,174,44
pJg9nxzHJLs,UCq-Fj5jknLsUf-MWSy4_brA,"MANAN BHARDWAJ - ""SAJNI""😍 | AARZU THAKUR | #YTShortsIndia",2025-12-12T07:40:17Z,99609,567,10
-lR0wvxfAdk,UCq-Fj5jknLsUf-MWSy4_brA,Juda Hue Ho (Music Video): Akhil Sachdeva | Nickita Arora | Bhushan Kumar,2025-12-12T05:30:01Z,2169082,34663,1133
sjzQbeT9r1I,UCq-Fj5jknLsUf-MWSy4_brA,Shartaan Vibe😍💫 — Shreya Kalra | Tulsi Kumar #YTShortsIndia,2025-12-11T15:01:49Z,155981,1777,32
Qhwafoo7Pnc,UCq-Fj5jknLsUf-MWSy4_brA,"Aawaara Angaara (Full Video): Tere Ishk Mein | Dhanush, Kriti | AR Rahman,Faheem|Aanand LR|Bhushan K",2025-12-11T13:00:07Z,3708746,52975,2219
b7boZIF9WHY,UCq-Fj5jknLsUf-MWSy4_brA,PARESHAN (Lyrical Visualizer): YXTO | Izhaar | New Hindi Song | T-Series,2025-12-11T11:31:08Z,1049182,10703,1085
IGti1RTS1wc,UCq-Fj5jknLsUf-MWSy4_brA,"Deewaana Deewaana (Full Video): Tere Ishk Mein | Dhanush, Kriti | AR Rahman | Aanand LR | Bhushan K",2025-12-11T10:00:07Z,376656,6100,251
WH-SpploL0s,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa (Audio Jukebox) Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman P | Netflix India,2025-12-11T09:14:55Z,7099,163,15
R06GjskvjQk,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ghotala (Audio) | Kunal K | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11T09:04:57Z,3442,55,22
LFs-sX1Fr2w,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Tu Hi Saahiba (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11T09:02:33Z,10427,225,22
0lwy5nmbNJU,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ajab Yeh Ishq (Reprise) (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman,2025-12-11T09:02:05Z,6707,185,20
ITM2swr34Y0,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Chura Loon Saare Taare (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman P,2025-12-11T08:57:00Z,4449,60,12
ZC9jckz5df4,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ajab Yeh Ishq (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11T08:54:39Z,17678,566,32
-_SHQQEPLUg,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: Ib Na Jaane (Audio) | Kunal Kemmu | Manoj Pahwa | Ayesha Raza | Prajakta Koli,2025-12-11T08:52:38Z,4102,89,13
LWi7_mrLsg4,UCq-Fj5jknLsUf-MWSy4_brA,"Single Papa Title Track (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Raghav M, Khwaab",2025-12-11T08:50:29Z,2311,54,5
3bTVNFD08yo,UCq-Fj5jknLsUf-MWSy4_brA,Single Papa: GG Ki Ghaintness (Audio) | Kunal Kemmu | Manoj P | Ayesha R | Prajakta K | Aman Pant,2025-12-11T08:48:12Z,5060,93,17
mJAtkn3g6jE,UCq-Fj5jknLsUf-MWSy4_brA,"MANAN BHARDWAJ - ""SAJNI"" - MV | AARZU THAKUR | BHUSHAN KUMAR",2025-12-11T05:30:05Z,2982855,54631,3316
DY1DdeW3VyI,UCq-Fj5jknLsUf-MWSy4_brA,"Tere Ishk Mein (Full Video) | Dhanush, Kriti S | AR Rahman, Arijit S, Irshad | Aanand LR | Bhushan K",2025-12-10T15:59:08Z,1030262,13360,382
-s0XdFxtPJ0,UCq-Fj5jknLsUf-MWSy4_brA,Teri Yaad Mein (Video Song) | Agam Kumar Nigam | Nikhil-Vinay | Bewafai,2025-12-10T15:25:37Z,36039,444,56
2pWyTXONC6s,UCq-Fj5jknLsUf-MWSy4_brA,"Tu Pehli Tu Aakhri (Full Video) Aryan|Shashwat,Arijit,Kumaar|Lakshya,Sahher|The Ba***ds Of Bollywood",2025-12-10T12:31:37Z,41611,1385,104
Xs4MhaXjT6E,UCq-Fj5jknLsUf-MWSy4_brA,"Badli Si Hawa Hai (Full Video) Aryan |Anirudh,Arijit,Amira|Lakshya,Sahher | The Ba***ds Of Bollywood",2025-12-10T12:31:31Z,93896,2536,145
r3y47PXH4EY,UCq-Fj5jknLsUf-MWSy4_brA,"GG Ki Ghaintness😎🔥 | Kunal Kemmu, Manoj P, Ayesha R, Prajakta K | Aman P | Single Papa",2025-12-10T10:57:36Z,93642,636,16
rjSr5xtNYqA,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Gaa De Zara (Full Video) | Rashmika Mandanna | Dheekshithh Shetty | Hesham,2025-12-10T09:00:14Z,49766,715,61
-2g_sua3s04,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Bheege Mann (Full Video) | Rashmika Mandanna | Dheekshith Shetty | Hesham | Garima,2025-12-10T09:00:23Z,9803,162,25
zX44F_-2LgM,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Dariya (Full Video) | Rashmika Mandanna | Dheekshith Shetty | Hesham | Garima Obrah,2025-12-10T09:00:03Z,73727,1393,128
CyW5mPIUO7w,UCq-Fj5jknLsUf-MWSy4_brA,The Girlfriend: Chuu Le (Full Video) | Rashmika Mandanna | Dheekshith Shetty | Hesham | Garima Obrah,2025-12-10T09:00:28Z,35695,471,46
YDX7GxFb0lM,UCq-Fj5jknLsUf-MWSy4_brA,Rahat Hai Tu💘💫: Adnan Sami | Tanishk Bagchi | Shaan Yadav | Bhushan Kumar | #YTShortsIndia,2025-12-10T07:35:47Z,238050,1528,18
RpEADKQCavA,UCq-Fj5jknLsUf-MWSy4_brA,"RAHAT (Official Music Video): Adnan Sami | Tanishk Bagchi | Shaan Y | Mihir, Kanikka | Bhushan Kumar",2025-12-10T05:30:05Z,2172741,25361,1180
