channel_name,subscribers,total_videos,total_views,category,stored_video_count
"Curionautes des sciences",58400,79,7071197,small,75
"Crimson Education",229000,1549,31682200,medium,56
"無綫新聞 TVB NEWS Official",555000,31465,216282308,medium,100
"Art Of Finance",27000,362,1323534,small,75
"Bollywood Prime Movies",2690000,641,607566068,big,405
"Finance With Sunil",91000,46,547173,small,46
"UPS Education",73700,1381,21846178,small,115
"Primary Technology",3460,599,516264,small,400
Music,125000000,0,0,big,0
"Learn Code With Durgesh",347000,1566,67379180,medium,95
"TNT Fight Sports",1240000,3507,770353828,big,0
SPORT,335000,4663,184605249,medium,39
"Science Mom",72800,310,5801790,small,200
"Arekkz Gaming",1490000,6740,746959985,big,12
"Swa Education",117000,1151,11163222,medium,215
"A.S.Education Maharashtra",269000,534,41514768,medium,74
"Stan Sport Football",1000000,1947,65760214,big,23
"KeyPoints Education",772000,537,67495840,medium,300
"TT Technology",666000,1442,105707896,medium,99
"Aifer Education - English",13200,324,433394,small,175
"StudyTube Education",401000,870,36127631,medium,377
"NAVI EDUCATION",32500,1018,6253365,small,309
"Coding Artist",83500,1000,7722051,small,292
"BBC News",19000000,27968,6523732548,big,68
"ABS-CBN Star Cinema",11900000,22097,2530873629,big,25
"Nessaj Gaming",440000,3398,193809403,medium,3
"Technology Gyan",15800000,1373,1665653757,big,18
"Harvard Graduate School of Education",68800,1274,6393787,small,141
"Tamil Tech - MrTT",4340000,3682,1193632374,big,16
"Bhakti Songs - Topic",2120,32,70222,small,32
"Coding Wallah Sir",115000,490,8896078,medium,75
"Finance Nits",6300,263,411331,small,225
"Sathiyam News",7310000,215641,6600895311,big,117
"Pen Movies",29800000,1840,9441334928,big,6
"Songs of Birdland",419000,498,160455810,medium,75
"REWA Technology",904000,1712,342031461,medium,48
"ETV Cinema",3940000,12080,2635936921,big,59
"Aditya Dumdaar Dubbed Movies",2520000,4230,1055857644,big,41
"Orange Juice Gaming",3640000,3787,2245350480,big,23
"Science 4 Mass",304000,305,38374948,medium,25
"YT Finance",42100,1771,6305357,small,21
"BS Education Institute | Bank SSC Exam classes",136000,488,1500648,medium,431
"Coding with John",419000,93,21851032,medium,93
"Smart Programming",306000,394,45732817,medium,372
"ABC Educational Channel",144000,665,7825607,medium,75
"Heresy Financial",397000,1939,64749162,medium,15
"Coding with Elias",31100,175,4472961,small,175
"Tech With Tim",1920000,1773,198962029,big,18
"Discovery Education UK",35300,150,7756977,small,149
"Flow Sport Club",999000,4838,169642821,medium,25
"Royal Star Movies",1010000,494,215247045,big,275
"TD NONSTOP MUSIC 05",8000,265,2164045,small,75
"Kantan Coding",74200,121,4465085,small,120
"SRF Sport",177000,6346,220332065,medium,3
"365 Sports",70200,6343,11121247,small,43
"Tech On Trend",273000,692,95572858,medium,221
"Navrit Gaming",919000,739,199863016,medium,452
Code-yug,36300,768,5720931,small,75
"Finding Value Finance",30400,4413,9717047,small,8
"Nagpuri Song - Topic",2860,19,0,small,0
"Analyzing Finance with Nick",91300,454,5675681,small,125
"KalaignarTV Movies",1930000,3897,1188633201,big,36
"RTL Sport",285000,5182,387939148,medium,25
"Kanak News",8740000,376545,7541295348,big,130
"Coding With Sagar",436000,197,38100349,medium,25
"PATTANAYAK EDUCATION",236000,1513,24894327,medium,74
"CallMeShazzam TECH",2410000,1820,1202189259,big,12
"Frostbite Gaming",5430000,3556,3772085823,big,13
"FD Finance",163000,187,19612053,medium,158
"Vishesh Films",3010000,2286,2087747071,big,11
"BASS BOOSTED SONGS - Topic",20500,86,1521894,small,84
"RON GAMING",4570000,2635,1449882586,big,5
"News Tak",12100000,69845,5270514697,big,100
"Sky Sport",943000,29528,1213902629,medium,0
"Zeste de Science / Les séries originales du CNRS",46200,108,1692639,small,25
"Family Finance - MONEY COACH",9360,37,186788,small,37
"Starting Finance",401000,1439,141436493,medium,116
"Uttam Kumar Movies",755000,5843,187555689,medium,16
"ATN Bangla News",9200000,83009,3803360651,big,120
"Code A Program",22600,102,2422228,small,102
"Anupam Movies",6430000,1364,1897369995,big,55
"In Depth Tech Reviews",194000,714,39887971,medium,175
"Shemaroo Movies",38800000,3742,10795248529,big,9
"Science Max - 9 Story",518000,676,160868939,medium,486
"Finance with Nobita",44400,92,4472262,small,90
"Zach's Tech Turf",1690000,3494,2402863563,big,24
"Toinelag Gaming",585000,71,106814165,medium,72
"Beki Gaming",281000,222,60038392,medium,220
"Camodo Gaming",3940000,7529,2645759177,big,17
"Dev Music Dula ki Dhani ",1990,52,269251,small,53
"Super Movies Dhamaka",1750000,154,322358893,big,152
"India News",3680000,134930,1342032524,big,111
"Technology Guide",73100,205,11391206,small,25
"Tricky Maths Education Adda",2190000,3671,161493598,big,0
"DARLUNG GAMING",2700000,2023,1551003113,big,15
"Sky Sports News",1770000,14994,1041094639,big,25
"V6 News Telugu",11800000,418369,14177116005,big,123
"Concept && Coding - by Shrayansh",219000,373,12718385,medium,183
"Suggestive Gaming",417000,334,116158977,medium,315
"Sick Science!",2270000,915,1801710068,big,275
"Branch Education",2620000,55,107976605,big,55
"Prime Coding",59300,597,6232391,small,322
"BBC Earth Science",1740000,1519,278793167,big,53
"NEWS AM",522000,85803,763670156,medium,75
"Nupur Movies",1780000,4211,733876265,big,0
"MooMooMath and Science",599000,3499,187934835,medium,1
"Selena Gaming",1540000,2063,493479855,big,6
"Yahoo Finance",1470000,59471,530632568,big,71
"Shaandaar Movies",840000,467,198890885,medium,346
Sports,74500000,0,0,big,0
"Bozeman Science",1430000,709,230488128,big,125
"Royalty Gaming",7480000,176,1322907714,big,25
"Trakin Tech",15400000,4415,3147790089,big,7
"Tae Kim - Financial Tortoise",334000,406,26994887,medium,363
"Zee Movies Tamil",479000,110,106638448,medium,110
"BBC News India",274000,1009,73611737,medium,349
"House Technology",3370000,167,1208633515,big,164
"Violin Music - Topic",7080,17918,1393325,small,25
"beIN SPORTS France",2720000,19962,2113465236,big,15
"High-Performance Programming",59400,56,2263229,small,56
"MUSTIKO MUSIC OFFICIAL",7360,343,1291663,small,333
"Finance With Justus",1330,122,113913,small,122
"Ceave Gaming",505000,244,160231374,medium,244
"Bahari Music",258,12,34609,small,12
"Action Movies Digiplex",6130000,596,851162045,big,224
"Boxoffice | NEW Full Movies in English",1120000,480,194093831,big,225
"Ruang Mitoha Production",269,19,12908,small,19
"40 Finance",20800,697,1864181,small,400
"BhavaniHD Movies",9490000,41819,4908728589,big,51
"Super Simple Songs - Topic",632000,1298,635415499,medium,25
